pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
艮卦-static,mountain / cover,y,-0.11,7,5,0.4,98,0.592,0.7896,False
離卦-dynamic,fire / contraction,y,-0.106,8,5,0.4,134,0.607,0.7896,False
艮卦-dynamic,mountain / descent,y,0.101,8,5,0.6,136,0.597,0.7896,False
艮卦-dynamic,mountain / descent,t͡ʃ,-0.093,11,8,0.5,165,0.602,0.7896,False
坤卦-static,earth / void,u,-0.092,20,10,0.7,331,0.592,0.7896,False
兌卦-dynamic,marsh / emission,ə,0.09,10,6,0.67,491,0.602,0.7896,False
坎卦-static,water / core,u,0.061,20,10,0.3,736,0.592,0.7896,False
坤卦-dynamic,earth / stillness,l,0.059,20,10,0.5,1343,0.602,0.7896,False
中卦-dynamic,center / mixture,h,-0.208,8,6,0.67,54,0.6169,0.7974,False
巽卦-static,wind / detachment,h,0.199,10,7,0.57,88,0.6219,0.7974,False
巽卦-dynamic,wind / seepage,a,0.167,19,9,0.44,224,0.6219,0.7974,False
震卦-dynamic,thunder / rising,x,-0.159,5,2,1.0,44,0.6219,0.7974,False
兌卦-dynamic,marsh / emission,c,0.111,7,3,0.67,73,0.6219,0.7974,False
離卦-dynamic,fire / contraction,ʃ,0.079,13,5,0.4,227,0.6219,0.7974,False
坎卦-static,water / core,i,0.06,22,11,0.55,2261,0.6219,0.7974,False
乾卦-dynamic,sky / tumult,d,-0.204,9,4,0.5,51,0.6269,0.8005,False
巽卦-dynamic,wind / seepage,e,0.2,10,4,0.5,70,0.6269,0.8005,False
乾卦-dynamic,sky / tumult,h,0.245,8,7,0.57,43,0.6318,0.8036,False
艮卦-dynamic,mountain / descent,t,-0.069,21,11,0.55,1010,0.6318,0.8036,False
中卦-dynamic,center / mixture,o,0.159,14,9,0.56,123,0.6368,0.8083,False
離卦-static,fire / enclosure,h,0.216,7,6,0.67,77,0.6418,0.8097,False
兌卦-dynamic,marsh / emission,n,-0.057,22,11,0.64,1146,0.6418,0.8097,False
坤卦-dynamic,earth / stillness,t,-0.053,21,11,0.64,1546,0.6418,0.8097,False
乾卦-dynamic,sky / tumult,v,0.275,7,3,0.67,46,0.6517,0.8108,False
中卦-dynamic,center / mixture,a,0.145,20,10,0.5,345,0.6517,0.8108,False
坎卦-dynamic,water / dispersal,ɛ,0.11,13,7,0.43,154,0.6468,0.8108,False
震卦-dynamic,thunder / rising,t͡ʃ,0.108,10,7,0.43,100,0.6468,0.8108,False
兌卦-dynamic,marsh / emission,k,-0.066,21,10,0.7,947,0.6468,0.8108,False
艮卦-static,mountain / cover,e,0.058,19,10,0.6,841,0.6517,0.8108,False
艮卦-static,mountain / cover,j,-0.056,17,8,0.5,374,0.6517,0.8108,False
離卦-dynamic,fire / contraction,i,-0.058,22,11,0.55,1741,0.6617,0.8215,False
坤卦-dynamic,earth / stillness,ɑ,0.089,8,4,0.75,356,0.6667,0.8245,False
艮卦-dynamic,mountain / descent,ʊ,0.085,8,3,1.0,159,0.6667,0.8245,False
巽卦-static,wind / detachment,e,0.133,15,8,0.75,146,0.6716,0.8257,False
坤卦-dynamic,earth / stillness,ɲ,0.106,5,5,0.4,80,0.6716,0.8257,False
坎卦-dynamic,water / dispersal,p,0.103,19,9,0.78,180,0.6716,0.8257,False
離卦-static,fire / enclosure,a,0.111,19,9,0.44,460,0.6766,0.8286,False
坎卦-dynamic,water / dispersal,a,-0.106,21,10,0.7,745,0.6766,0.8286,False
艮卦-dynamic,mountain / descent,ə,-0.063,10,6,0.5,495,0.6816,0.8331,False
乾卦-dynamic,sky / tumult,l,-0.126,16,7,0.57,113,0.6866,0.8343,False
坎卦-static,water / core,b,0.057,20,10,0.4,523,0.6866,0.8343,False
艮卦-static,mountain / cover,d,-0.056,19,9,0.44,466,0.6866,0.8343,False
兌卦-dynamic,marsh / emission,e,0.062,19,10,0.5,964,0.6915,0.8387,False
兌卦-static,marsh / cavity,r,0.223,10,4,0.5,82,0.6965,0.8415,False
離卦-static,fire / enclosure,o,-0.169,13,9,0.56,113,0.6965,0.8415,False
艮卦-dynamic,mountain / descent,n,0.043,22,11,0.36,1387,0.7114,0.8562,False
震卦-static,thunder / base,m,0.038,22,11,0.55,979,0.7114,0.8562,False
離卦-static,fire / enclosure,ɑ,0.271,5,3,0.67,47,0.7214,0.8632,False
兌卦-dynamic,marsh / emission,ʃ,0.066,11,5,0.6,186,0.7214,0.8632,False
艮卦-static,mountain / cover,ɔ,0.061,11,5,0.6,207,0.7214,0.8632,False
乾卦-dynamic,sky / tumult,ə,-0.204,7,4,0.75,71,0.7264,0.8642,False
中卦-static,center / uniformity,t,-0.085,21,11,0.64,296,0.7264,0.8642,False
艮卦-dynamic,mountain / descent,e,0.039,19,10,0.5,903,0.7264,0.8642,False
中卦-dynamic,center / mixture,ɑ,-0.171,5,3,0.67,55,0.7313,0.8652,False
乾卦-dynamic,sky / tumult,k,0.109,17,8,0.5,140,0.7313,0.8652,False
中卦-static,center / uniformity,l,-0.093,20,10,0.7,254,0.7313,0.8652,False
巽卦-static,wind / detachment,ə,0.149,8,5,0.2,82,0.7413,0.872,False
巽卦-static,wind / detachment,r,-0.135,12,6,0.5,131,0.7413,0.872,False
